function,iter,pi,error,time,hostname
1, 590000,  3.1415926536, 2.9576341376e-13, 0.00522,  wn23 
2, 590000,  3.1415926543, 7.6003114913e-10, 0.00589,  wn23 
1, 600000,  3.1415926536, 2.1493917757e-13, 0.00531,  wn23 
2, 600000,  3.1415926543, 7.4114492321e-10, 0.00599,  wn23 
1, 610000,  3.1415926536, 2.2915003228e-13, 0.00562,  wn23 
2, 610000,  3.1415926543, 7.2299632947e-10, 0.00609,  wn23 
1, 620000,  3.1415926536, 2.1405099915e-13, 0.00549,  wn23 
2, 620000,  3.1415926543, 7.0563022092e-10, 0.00619,  wn23 
1, 630000,  3.1415926536, 2.3314683517e-13, 0.00558,  wn23 
2, 630000,  3.1415926543, 6.8883077020e-10, 0.00629,  wn23 
1, 640000,  3.1415926536, 1.5232259898e-13, 0.00567,  wn23 
2, 640000,  3.1415926543, 6.7270944371e-10, 0.00682,  wn23 
1, 650000,  3.1415926536, 1.9939605522e-13, 0.00576,  wn23 
2, 650000,  3.1415926542, 6.5725691556e-10, 0.00670,  wn23 
1, 660000,  3.1415926536, 3.5305092183e-13, 0.00584,  wn23 
2, 660000,  3.1415926542, 6.4231509000e-10, 0.00659,  wn23 
1, 670000,  3.1415926536, 2.6600943670e-13, 0.00592,  wn23 
2, 670000,  3.1415926542, 6.2810334711e-10, 0.00669,  wn23 
1, 680000,  3.1415926536, 5.7731597281e-14, 0.00602,  wn23 
2, 680000,  3.1415926542, 6.1429750176e-10, 0.00678,  wn23 
1, 690000,  3.1415926536, 2.4558133305e-13, 0.00611,  wn23 
2, 690000,  3.1415926542, 6.0101257304e-10, 0.00697,  wn23 
1, 700000,  3.1415926536, 7.8159700934e-14, 0.00620,  wn23 
2, 700000,  3.1415926542, 5.8801274960e-10, 0.00721,  wn23 
1, 710000,  3.1415926536, 2.0161650127e-13, 0.00629,  wn23 
2, 710000,  3.1415926542, 5.7562843381e-10, 0.00708,  wn23 
1, 720000,  3.1415926536, 1.7585932710e-13, 0.00638,  wn23 
